Player_Name,Date,School,Opponent,Type,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,Class
daniel oturu,2019-12-02,Minnesota,Clemson,REG,W,1,25,9,11,0.818,9,11,0.818,0,0,NA,3,5,0.6,1,3,4,0,0,4,2,4,21,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-12-09,Minnesota,Iowa,REG,L,1,31,10,12,0.833,9,11,0.818,1,1,1,1,3,0.333,1,11,12,1,1,5,8,3,22,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-12-15,Minnesota,Ohio State,REG,W,1,38,6,12,0.5,6,11,0.545,0,1,0,2,2,1,7,6,13,1,0,2,3,4,14,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-12-21,Minnesota,Oklahoma State,REG,W,1,34,10,12,0.833,10,10,1,0,2,0,2,2,1,3,5,8,2,0,3,3,4,22,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-12-28,Minnesota,Florida International,REG,W,1,32,8,12,0.667,8,11,0.727,0,1,0,5,5,1,6,14,20,1,1,1,3,2,21,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-02,Minnesota,Purdue,REG,L,1,45,12,23,0.522,10,19,0.526,2,4,0.5,3,5,0.6,7,11,18,1,0,1,3,4,29,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-05,Minnesota,Northwestern,REG,W,1,36,6,10,0.6,6,9,0.667,0,1,0,7,7,1,6,10,16,3,0,5,4,3,19,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-09,Minnesota,Michigan State,REG,L,1,34,9,19,0.474,8,17,0.471,1,2,0.5,3,4,0.75,4,6,10,1,1,2,2,3,22,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-12,Minnesota,Michigan,REG,W,1,35,13,18,0.722,12,16,0.75,1,2,0.5,3,7,0.429,2,5,7,0,1,0,1,1,30,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-15,Minnesota,Penn State,REG,W,1,38,8,14,0.571,7,12,0.583,1,2,0.5,9,14,0.643,6,8,14,0,0,2,4,2,26,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-19,Minnesota,Rutgers,REG,L,1,38,6,16,0.375,5,11,0.455,1,5,0.2,6,8,0.75,4,5,9,2,1,2,1,3,19,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-23,Minnesota,Ohio State,REG,W,1,39,4,12,0.333,4,9,0.444,0,3,0,3,7,0.429,2,4,6,1,1,1,0,3,11,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-26,Minnesota,Michigan State,REG,L,1,35,7,14,0.5,7,13,0.538,0,1,0,5,7,0.714,3,3,6,1,0,0,4,4,19,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-01-30,Minnesota,Illinois,REG,L,1,39,7,13,0.538,7,13,0.538,0,0,NA,6,7,0.857,1,7,8,1,1,3,4,1,20,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-05,Minnesota,Wisconsin,REG,W,1,29,6,10,0.6,5,9,0.556,1,1,1,4,4,1,5,9,14,2,0,4,1,5,17,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-08,Minnesota,Penn State,REG,L,1,36,12,23,0.522,12,22,0.545,0,1,0,8,9,0.889,5,11,16,1,0,3,1,3,32,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-16,Minnesota,Iowa,REG,L,1,36,6,13,0.462,6,12,0.5,0,1,0,3,7,0.429,2,4,6,0,1,3,4,3,15,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-19,Minnesota,Indiana,REG,L,1,35,5,15,0.333,5,14,0.357,0,1,0,1,4,0.25,5,9,14,3,0,3,3,4,11,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-23,Minnesota,Northwestern,REG,W,1,30,8,11,0.727,5,6,0.833,3,5,0.6,3,4,0.75,2,10,12,1,1,3,1,1,22,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-02-26,Minnesota,Maryland,REG,L,1,38,10,13,0.769,8,10,0.8,2,3,0.667,6,6,1,3,8,11,1,0,1,2,1,28,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-03-01,Minnesota,Wisconsin,REG,L,1,36,9,19,0.474,9,18,0.5,0,1,0,8,11,0.727,4,8,12,0,0,2,3,3,26,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-03-04,Minnesota,Indiana,REG,L,1,39,11,27,0.407,11,27,0.407,0,0,NA,2,5,0.4,7,9,16,1,1,0,4,2,24,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-03-08,Minnesota,Nebraska,REG,W,1,22,4,7,0.571,4,7,0.571,0,0,NA,2,2,1,3,3,6,0,1,1,3,2,10,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2020-03-11,Minnesota,Northwestern,CTOURN,W,1,30,6,10,0.6,4,8,0.5,2,2,1,10,12,0.833,1,7,8,1,1,2,1,1,24,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
desmond bane,2019-11-07,TCU,Southwestern (TX),REG,W,1,30,10,16,0.625,5,6,0.833,5,10,0.5,1,1,1,1,2,3,4,3,1,2,3,26,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-11-12,TCU,Louisiana,REG,W,1,37,9,16,0.563,2,3,0.667,7,13,0.538,0,0,NA,2,5,7,5,1,0,0,1,25,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-11-18,TCU,Air Force,REG,W,1,37,2,11,0.182,1,5,0.2,1,6,0.167,2,2,1,1,5,6,2,2,0,2,2,7,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-11-21,TCU,UC-Irvine,REG,W,1,38,4,10,0.4,3,9,0.333,1,1,1,2,2,1,3,4,7,1,1,1,4,1,11,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-11-24,TCU,Clemson,REG,L,1,43,6,16,0.375,4,10,0.4,2,6,0.333,3,6,0.5,3,7,10,6,3,0,4,1,17,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-11-26,TCU,Wyoming,REG,W,1,37,8,14,0.571,4,7,0.571,4,7,0.571,2,4,0.5,2,9,11,0,1,0,2,1,22,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-12-03,TCU,Illinois State,REG,W,1,38,9,14,0.643,8,10,0.8,1,4,0.25,4,4,1,2,7,9,5,2,1,2,2,23,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-12-06,TCU,USC,REG,L,1,33,4,10,0.4,3,7,0.429,1,3,0.333,4,4,1,1,2,3,2,2,0,2,5,13,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-12-11,TCU,Winthrop,REG,W,1,31,5,11,0.455,4,6,0.667,1,5,0.2,0,0,NA,0,7,7,6,1,0,2,4,11,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
