Season,School,Conf,G,GS,MP,FG,FGA,FG.,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG Per Game,FGA Per Game,2P Per Game,2PA Per Game,3P Per Game,3PA Per Game,FT Per Game,FTA Per Game,ORB Per Game,DRB Per Game,TRB Per Game,AST Per Game,STL Per Game,BLK Per Game,TOV Per Game,PF Per Game,PTS Per Game,SOS Per Game,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS Per 40,OBPM,DBPM,BPM,URL,Player_Name,Class
2019-20,Michigan State,Big Ten,30,30,980,185,413,0.448,112,244,0.459,73,169,0.432,115,135,0.852,6,69,75,176,36,1,96,59,558,6.2,13.8,3.7,8.1,2.4,5.6,3.8,4.5,0.2,2.3,2.5,5.9,1.2,0,3.2,2,18.6,10.76,23,0.585,0.409,0.327,553,0.7,7.1,4.2,36.5,2.1,0.1,16.8,29.1,3.5,1.5,5,0.204,7,1.9,8.9,https://www.sports-reference.com/cbb/players/cassius-winston-1.html,cassius winston,Senior
2019-20,Duke,ACC,29,29,1028,162,383,0.423,123,275,0.447,39,108,0.361,108,140,0.771,19,104,123,185,52,10,78,51,471,5.6,13.2,4.2,9.5,1.3,3.7,3.7,4.8,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,8,21.2,0.524,0.282,0.366,513,2.1,10.8,6.5,31.4,2.8,0.9,14.8,24,3,2,4.9,0.192,5.1,3.1,8.2,https://www.sports-reference.com/cbb/players/tre-jones-1.html,tre jones,Sophmore
2019-20,Michigan State,Big Ten,31,31,995,165,300,0.55,152,250,0.608,13,50,0.26,82,123,0.667,83,237,320,93,37,65,61,81,425,5.3,9.7,4.9,8.1,0.4,1.6,2.6,4,2.7,7.6,10.3,3,1.2,2.1,2,2.6,13.7,10.76,26.5,0.593,0.167,0.41,432,9.9,23.9,17.5,18.1,2.1,6.9,14.5,21,3.1,2.7,5.8,0.234,6.3,6.2,12.6,https://www.sports-reference.com/cbb/players/xavier-tillman-1.html,xavier tillman,Junior
2019-20,Kansas,Big 12,31,30,859,181,242,0.748,181,242,0.748,0,0,NA,64,145,0.441,107,217,324,29,15,80,76,75,426,5.8,7.8,5.8,7.8,0,0,2.1,4.7,3.5,7,10.5,0.9,0.5,2.6,2.5,2.4,13.7,11.63,31.3,0.685,0,0.599,397,15.3,26.9,21.5,7.1,1,10.9,19.6,22.9,2.9,2.6,5.5,0.254,7.2,5.2,12.4,https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html,udoka azubuike,Senior
2019-20,TCU,Big 12,32,32,1152,197,436,0.452,105,228,0.461,92,208,0.442,45,57,0.789,46,157,203,124,47,17,74,70,531,6.2,13.6,3.3,7.1,2.9,6.5,1.4,1.8,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,10.09,22.6,0.573,0.477,0.131,507,4.6,16.3,10.4,26,2.5,1.6,13.8,24.4,3.4,1.9,5.3,0.183,7.1,2.6,9.8,https://www.sports-reference.com/cbb/players/desmond-bane-1.html,desmond bane,Senior
2019-20,Texas Tech,Big 12,27,27,842,148,335,0.442,88,194,0.454,60,141,0.426,50,78,0.641,20,88,108,60,36,18,54,59,406,5.5,12.4,3.3,7.2,2.2,5.2,1.9,2.9,0.7,3.3,4,2.2,1.3,0.7,2,2.2,15,8.41,19.1,0.546,0.421,0.233,364,3,12.4,7.8,16.1,2.5,2.5,12.7,26.2,1.6,1.7,3.3,0.156,4.3,2.4,6.7,https://www.sports-reference.com/cbb/players/jahmius-ramsey-1.html,jahmius ramsey,Freshman
2019-20,Arizona,Pac-12,32,32,981,179,314,0.57,174,297,0.586,5,17,0.294,152,200,0.76,99,177,276,27,23,28,70,76,515,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,8.4,25.7,0.63,0.054,0.637,482,11.5,20.3,15.9,5.8,1.3,3.3,14.6,24.1,3.5,2.1,5.6,0.229,5.6,2.3,8,https://www.sports-reference.com/cbb/players/zeke-nnaji-1.html,zeke nnaji,Freshman
2019-20,Minnesota,Big Ten,31,31,1050,238,423,0.563,219,371,0.59,19,52,0.365,128,181,0.707,116,233,349,34,17,76,88,83,623,7.7,13.6,7.1,12,0.6,1.7,4.1,5.8,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,11.55,30.7,0.612,0.123,0.428,562,12,23.3,17.8,7.9,1,7.1,14.7,28.8,3.7,2.2,5.9,0.226,7.7,3.4,11.1,https://www.sports-reference.com/cbb/players/daniel-oturu-1.html,daniel oturu,Sophmore
2019-20,Oregon,Pac-12,31,31,1135,216,462,0.468,128,250,0.512,88,212,0.415,115,140,0.821,21,113,134,172,47,1,85,62,635,7,14.9,4.1,8.1,2.8,6.8,3.7,4.5,0.7,3.6,4.3,5.5,1.5,0,2.7,2,20.5,9.09,27.1,0.601,0.459,0.303,640,2.3,11.5,7.1,31.5,2.5,0.1,13.9,28.2,5.3,1.4,6.7,0.235,9.2,1.9,11.1,https://www.sports-reference.com/cbb/players/payton-pritchard-1.html,payton pritchard,Senior
2019-20,College of Charleston,CAA,31,31,1039,227,455,0.499,180,325,0.554,47,130,0.362,177,214,0.827,16,143,159,122,49,10,97,70,678,7.3,14.7,5.8,10.5,1.5,4.2,5.7,6.9,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,-0.84,30.6,0.609,0.286,0.47,661,1.8,15.7,8.9,30.1,2.8,1.1,14.8,33.6,4.5,1.4,5.8,0.225,6,1.1,7.1,https://www.sports-reference.com/cbb/players/grant-riller-1.html,grant riller,Senior
2019-20,Stanford,Pac-12,31,31,1010,147,333,0.441,85,181,0.47,62,152,0.408,98,110,0.891,11,128,139,99,43,2,82,64,454,4.7,10.7,2.7,5.8,2,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,6.38,19.3,0.589,0.456,0.33,447,1.4,14.4,8.3,20.3,2.5,0.2,17.5,24.5,2.3,2.3,4.5,0.179,3.4,2.7,6.1,https://www.sports-reference.com/cbb/players/tyrell-terry-1.html,tyrell terry,Freshmen
2019-20,Mississippi State,SEC,31,31,963,183,366,0.5,160,295,0.542,23,71,0.324,149,194,0.768,97,215,312,72,26,36,90,96,538,5.9,11.8,5.2,9.5,0.7,2.3,4.8,6.3,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,6.96,28.5,0.587,0.194,0.53,533,12.4,25.2,19.1,16.4,1.6,4.1,16.4,28.6,3.7,1.6,5.2,0.218,6.7,1.8,8.5,https://www.sports-reference.com/cbb/players/reggie-perry-2.html,reggie perry,Sophmore
2019-20,Kentucky,SEC,30,20,989,138,331,0.417,76,186,0.409,62,145,0.428,144,156,0.923,16,110,126,56,27,4,48,70,482,4.6,11,2.5,6.2,2.1,4.8,4.8,5.2,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,7.46,20.4,0.595,0.438,0.471,439,2.1,11.9,7.4,11.4,1.6,0.5,10.6,23.4,3.4,1.4,4.8,0.192,5.3,2,7.2,https://www.sports-reference.com/cbb/players/immanuel-quickley-1.html,immanuel quickley,Sophmore
2019-20,Duke,ACC,31,30,772,199,345,0.577,191,324,0.59,8,21,0.381,146,218,0.67,83,189,272,30,22,49,63,85,552,6.4,11.1,6.2,10.5,0.3,0.7,4.7,7,2.7,6.1,8.8,1,0.7,1.6,2,2.7,17.8,8,34.1,0.615,0.061,0.632,499,12,26.1,19.2,8.2,1.6,5.8,12.3,31,3.6,2,5.6,0.288,7.9,3.4,11.3,https://www.sports-reference.com/cbb/players/vernon-careyjr-1.html,vernon careyjr,Freshman
2019-20,Louisville,ACC,31,30,1026,189,430,0.44,113,241,0.469,76,189,0.402,104,128,0.813,52,187,239,40,23,8,65,69,558,6.1,13.9,3.6,7.8,2.5,6.1,3.4,4.1,1.7,6,7.7,1.3,0.7,0.3,2.1,2.2,18,7.55,22.6,0.568,0.44,0.298,500,6,19.8,13.3,8.4,1.3,0.9,11.7,27.8,3.2,2,5.2,0.201,6.3,1.9,8.2,https://www.sports-reference.com/cbb/players/jordan-nwora-1.html,jordan nwora,Junior
2019-20,LSU,SEC,31,31,1067,169,344,0.491,119,217,0.548,50,127,0.394,129,151,0.854,15,141,156,100,55,7,70,52,517,5.5,11.1,3.8,7,1.6,4.1,4.2,4.9,0.5,4.5,5,3.2,1.8,0.2,2.3,1.7,16.7,7.2,23.7,0.622,0.369,0.439,494,1.6,13.8,8.1,17,2.9,0.7,14.4,22,3.9,1.2,5.1,0.19,5.8,2.5,8.3,https://www.sports-reference.com/cbb/players/skylar-mays-1.html,skylar mays,Senior
2019-20,Kansas,Big 12,30,30,1047,182,389,0.468,144,266,0.541,38,123,0.309,142,171,0.83,17,105,122,120,63,3,73,54,544,6.1,13,4.8,8.9,1.3,4.1,4.7,5.7,0.6,3.5,4.1,4,2.1,0.1,2.4,1.8,18.1,11.63,24.9,0.578,0.316,0.44,534,2,10.7,6.6,22.5,3.5,0.3,13.4,26.4,3.8,2.4,6.2,0.238,6.5,4.8,11.3,https://www.sports-reference.com/cbb/players/devon-dotson-1.html,devon dotson,Sophmore
2019-20,Arkansas,SEC,26,25,939,132,360,0.367,38,85,0.447,94,275,0.342,81,91,0.89,14,93,107,45,37,7,45,48,439,5.1,13.8,1.5,3.3,3.6,10.6,3.1,3.5,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,7.27,17.5,0.544,0.764,0.253,402,1.7,11.5,6.6,10,2.2,0.8,10,24.2,1.8,1.4,3.2,0.136,4,1.2,5.3,https://www.sports-reference.com/cbb/players/isaiah-joe-1.html,isaiah joe,Sophmore
2019-20,Duke,ACC,29,29,796,128,270,0.474,97,184,0.527,31,86,0.36,77,105,0.733,54,87,141,30,20,21,54,63,364,4.4,9.3,3.3,6.3,1.1,3,2.7,3.6,1.9,3,4.9,1,0.7,0.7,1.9,2.2,12.6,8,18.5,0.569,0.319,0.389,339,7.6,11.7,9.7,6.6,1.4,2.4,14.4,21.9,1.9,1.4,3.3,0.166,3.6,1.9,5.4,https://www.sports-reference.com/cbb/players/cassius-stanley-1.html,cassius stanley,Freshman
2019-20,DePaul,Big East,29,29,918,182,353,0.516,166,301,0.551,16,52,0.308,59,80,0.738,95,215,310,47,54,74,66,86,439,6.3,12.2,5.7,10.4,0.6,1.8,2,2.8,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3,15.1,8.95,27.5,0.561,0.147,0.227,421,11.1,25.9,18.4,11.5,3.3,9.7,14.4,24,2.2,2.3,4.5,0.194,4.9,4.2,9.2,https://www.sports-reference.com/cbb/players/paul-reed-5.html,paul reed,Junior
2019-20,Gonzaga,WCC,24,24,591,123,230,0.535,87,140,0.621,36,90,0.4,45,62,0.726,29,91,120,45,24,20,24,59,327,5.1,9.6,3.6,5.8,1.5,3.8,1.9,2.6,1.2,3.8,5,1.9,1,0.8,1,2.5,13.6,3.13,27.5,0.63,0.391,0.27,299,5.8,16.6,11.5,13.1,2.2,3.4,8.5,22.9,2.6,1.3,3.9,0.261,8.3,3.7,12,https://www.sports-reference.com/cbb/players/killian-tillie-1.html,killian tillie,Senior
2019-20,Boise State,MWC,32,32,1151,172,404,0.426,74,157,0.471,98,247,0.397,70,73,0.959,31,111,142,67,45,15,40,69,512,5.4,12.6,2.3,4.9,3.1,7.7,2.2,2.3,1,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16,4.39,20.1,0.584,0.611,0.181,474,3.2,11.8,7.4,12,2.2,1.5,8.4,21.1,3.4,1.8,5.2,0.181,5.4,1.8,7.2,https://www.sports-reference.com/cbb/players/justinian-jessup-1.html,justinian jessup,Senior
2019-20,Houston,AAC,31,31,938,107,261,0.41,61,142,0.43,46,119,0.387,68,90,0.756,84,186,270,63,43,5,38,68,328,3.5,8.4,2,4.6,1.5,3.8,2.2,2.9,2.7,6,8.7,2,1.4,0.2,1.2,2.2,10.6,6.3,21.4,0.54,0.456,0.345,339,9.7,22,15.7,12.9,2.7,0.7,11.1,17.9,2.7,2.2,4.9,0.21,5.6,3.7,9.3,https://www.sports-reference.com/cbb/players/nate-hinton-1.html,nate hinton,Sophmore
2019-20,Utah State,MWC,32,32,1119,195,423,0.461,106,206,0.515,89,217,0.41,150,168,0.893,7,125,132,125,28,3,50,73,629,6.1,13.2,3.3,6.4,2.8,6.8,4.7,5.3,0.2,3.9,4.1,3.9,0.9,0.1,1.6,2.3,19.7,4.04,25,0.625,0.513,0.397,575,0.7,11.8,6.6,23.1,1.5,0.3,9,24.9,5.2,2,7.1,0.255,7.6,2.4,9.9,https://www.sports-reference.com/cbb/players/sam-merrill-1.html,sam merrill,Senior
2019-20,Gonzaga,WCC,33,33,856,209,372,0.562,207,361,0.573,2,11,0.182,156,238,0.655,78,184,262,48,20,26,69,56,576,6.3,11.3,6.3,10.9,0.1,0.3,4.7,7.2,2.4,5.6,7.9,1.5,0.6,0.8,2.1,1.7,17.5,3.13,30.5,0.594,0.03,0.64,544,10.8,23.2,17.3,10.3,1.3,3,12.5,30.9,3.7,1.8,5.5,0.258,5.9,1,6.8,https://www.sports-reference.com/cbb/players/filip-petrusev-1.html,filip petrusev,Sophmore
2019-20,Marquette,Big East,29,29,963,237,561,0.422,116,267,0.434,121,294,0.412,211,249,0.847,16,85,101,95,27,1,98,70,806,8.2,19.3,4,9.2,4.2,10.1,7.3,8.6,0.6,2.9,3.5,3.3,0.9,0,3.4,2.4,27.8,9.3,29.2,0.593,0.524,0.444,730,1.9,9.1,5.7,26.2,1.6,0.1,12.6,39.3,4.8,1,5.8,0.24,10.5,0.6,11,https://www.sports-reference.com/cbb/players/markus-howard-1.html,markus howard,Senior
2019-20,Creighton,Big East,31,31,1076,163,378,0.431,82,175,0.469,81,203,0.399,117,136,0.86,8,148,156,72,41,8,42,53,524,5.3,12.2,2.6,5.6,2.6,6.5,3.8,4.4,0.3,4.8,5,2.3,1.3,0.3,1.4,1.7,16.9,9.61,21.5,0.592,0.537,0.36,477,0.9,14.5,8.1,12.3,2.2,0.8,8.7,23.1,3.4,1.5,4.8,0.18,5.8,1.9,7.7,https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html,ty-shon alexander,Junior
2019-20,Kentucky,SEC,31,30,919,163,254,0.642,163,254,0.642,0,0,NA,109,145,0.752,81,160,241,7,3,66,49,98,435,5.3,8.2,5.3,8.2,0,0,3.5,4.7,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14,7.46,25.8,0.674,0,0.571,394,11.3,18.6,15.3,1.7,0.2,8,13.2,20.7,3.4,1.6,5.1,0.222,4.6,2.4,7,https://www.sports-reference.com/cbb/players/nick-richards-2.html,nick richards,Junior
2019-20,William & Mary,CAA,32,32,948,227,433,0.524,198,338,0.586,29,95,0.305,180,233,0.773,87,250,337,56,24,49,82,95,663,7.1,13.5,6.2,10.6,0.9,3,5.6,7.3,2.7,7.8,10.5,1.8,0.8,1.5,2.6,3,20.7,-3.1,35,0.61,0.219,0.538,631,11.6,29.2,21,14.7,1.5,5.4,13.1,34.7,4.5,1.8,6.3,0.266,6.7,0.5,7.2,https://www.sports-reference.com/cbb/players/nathan-knight-1.html,nathan knight,Senior
